Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	9	8.91089108910891	2.8966911181490506E-5	MAP2K3, TBK1, TRAF3, CCL5, IL1B, SPP1, TICAM1, IKBKE, TLR3	101	104	8465	7.2529512566641285	0.0035855056787568174	2.993247488754019E-4	2.2932138018679984E-4
KEGG_PATHWAY	hsa04625:C-type lectin receptor signaling pathway	9	8.91089108910891	2.8966911181490506E-5	PYCARD, CYLD, PLK3, KSR1, IL1B, CASP1, NLRP3, LSP1, IKBKE	101	104	8465	7.2529512566641285	0.0035855056787568174	2.993247488754019E-4	2.2932138018679984E-4
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	10	9.900990099009901	3.591328168645012E-5	THBD, IL1R1, IL1B, IL1R2, KEAP1, PLAT, SQSTM1, MAP2K5, HSP90B1, NFE2L2	101	139	8465	6.029631740152432	0.004443425539605972	3.4255745608613957E-4	2.6244321232405857E-4
KEGG_PATHWAY	hsa05134:Legionellosis	7	6.9306930693069315	5.211699592385298E-5	PYCARD, RAB1A, ARF1, IL1B, CASP1, IL18, NLRC4	101	57	8465	10.29268716345319	0.006441837728024868	4.616076781826979E-4	3.536510437690024E-4
KEGG_PATHWAY	hsa04144:Endocytosis	12	11.881188118811881	1.7195757247085087E-4	CYTH3, ARF1, PDCD6IP, MVB12B, VPS4A, MVB12A, CHMP4B, CHMP4A, ASAP2, CHMP7, CHMP5, ARF6	101	251	8465	4.006942526922015	0.02109881140426484	0.0014215159324257006	0.0010890646256487221
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	8	7.920792079207921	2.1656166048643845E-4	CYLD, IL1R1, TRAF3, GADD45A, IL1B, TNFRSF13C, TICAM1, TNFSF13B	101	104	8465	6.447067783701447	0.026499123738023767	0.001678352868769898	0.0012858348591382282
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	10	9.900990099009901	5.102363221097237E-4	CYTH3, PYCARD, RAB1A, ARF1, IL1R1, IL1B, CASP1, IL18, NLRP3, ARF6	101	197	8465	4.254410212594864	0.06132451002268746	0.0037217237612709258	0.0028513206235543384
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	11	10.891089108910892	0.00257844536033056	IL18RAP, TNFRSF13B, IL1R1, CCL5, IL1B, IL1R2, TNFSF13, IL18, TNFRSF13C, IL18R1, TNFSF13B	101	297	8465	3.1041437477081044	0.27395271411087574	0.017762623593388302	0.013608461623966844
KEGG_PATHWAY	hsa05161:Hepatitis B	8	7.920792079207921	0.0029795699318039062	MAP2K3, DDX3X, MAP3K1, TBK1, TRAF3, TICAM1, IKBKE, TLR3	101	162	8465	4.138858330277472	0.30927823594409476	0.019445614291772863	0.014897849659019531
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	9	8.91089108910891	0.006019695754160233	TBK1, STING1, TRAF3, IL1B, CASP1, NLRP3, CGAS, IKBKE, TLR3	101	232	8465	3.2513229771252985	0.5270180293908686	0.037322113675793446	0.028593554832261107
KEGG_PATHWAY	hsa05321:Inflammatory bowel disease	5	4.9504950495049505	0.007156184079454758	IL18RAP, IL1B, IL18, NOD2, IL18R1	101	65	8465	6.447067783701447	0.5895729743970959	0.0422555631358281	0.032373213692771526
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	10	9.900990099009901	0.009204502544561486	MAP2K3, MAP3K2, MAP3K1, IL1R1, GADD45A, DDIT3, IL1B, MAP3K6, MAP2K5, MAP3K4	101	302	8465	2.775227853911219	0.6822986824306921	0.05187992343298292	0.03974671553333369
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	11	10.891089108910892	0.010576470686786204	MAP2K3, RAB1A, TBK1, VAPB, DDIT3, CASP1, WDR41, RAB39B, ATF6, SQSTM1, C9ORF72	101	364	8465	2.532776629311283	0.7324548883911353	0.05702097239832562	0.04368542240194301
KEGG_PATHWAY	hsa05133:Pertussis	5	4.9504950495049505	0.012292291466618558	PYCARD, IL1B, CASP1, NLRP3, TICAM1	101	76	8465	5.513939551849922	0.7842618455557712	0.0611226478421504	0.04682783504035716
KEGG_PATHWAY	hsa03440:Homologous recombination	4	3.9603960396039604	0.012323114484304516	BABAM1, BABAM2, UIMC1, BRCC3	101	41	8465	8.176768896401835	0.785095070213376	0.0611226478421504	0.04682783504035716
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	5	4.9504950495049505	0.018614452187017086	PROCR, THBD, SERPINB2, SERPINE1, PLAT	101	86	8465	4.872783790006908	0.9026989315982986	0.08815595996726484	0.06753884029750129
KEGG_PATHWAY	hsa05152:Tuberculosis	7	6.9306930693069315	0.01954427890551623	PLK3, KSR1, RIPK2, IL1B, IL18, LSP1, NOD2	101	180	8465	3.2593509350935097	0.9134892366774467	0.08815595996726484	0.06753884029750129
KEGG_PATHWAY	hsa04672:Intestinal immune network for IgA production	4	3.9603960396039604	0.019906184508737223	TNFRSF13B, TNFSF13, TNFRSF13C, TNFSF13B	101	49	8465	6.84178621943827	0.9173603545084286	0.08815595996726484	0.06753884029750129
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	5	4.9504950495049505	0.024053389136578156	CCL5, IL1B, TNFSF13, IL18, TNFSF13B	101	93	8465	4.506015117640797	0.9511537226989937	0.09834658897970068	0.07534617704089971
KEGG_PATHWAY	hsa04912:GnRH signaling pathway	5	4.9504950495049505	0.024053389136578156	MAP2K3, MAP3K2, EGR1, MAP3K1, MAP3K4	101	93	8465	4.506015117640797	0.9511537226989937	0.09834658897970068	0.07534617704089971
KEGG_PATHWAY	hsa04657:IL-17 signaling pathway	5	4.9504950495049505	0.02490100752094252	TBK1, TRAF3, IL1B, IKBKE, HSP90B1	101	94	8465	4.458078786602065	0.9561429157343743	0.09834658897970068	0.07534617704089971
KEGG_PATHWAY	hsa04140:Autophagy - animal	6	5.9405940594059405	0.025482775630806455	RAB1A, TBK1, WDR41, RAB39B, SQSTM1, C9ORF72	101	141	8465	3.566463029281651	0.9592713113192369	0.09834658897970068	0.07534617704089971
KEGG_PATHWAY	hsa04936:Alcoholic liver disease	6	5.9405940594059405	0.026172882551049374	MAP2K3, TBK1, TRAF3, IL1B, TICAM1, IKBKE	101	142	8465	3.5413470924557244	0.9626963679805757	0.09834658897970068	0.07534617704089971
KEGG_PATHWAY	hsa03250:Viral life cycle - HIV-1	4	3.9603960396039604	0.03814649674342709	PDCD6IP, VPS4A, CHMP4B, CHMP4A	101	63	8465	5.321389281785321	0.9919553443730111	0.13912251753485175	0.10658579972428157
KEGG_PATHWAY	hsa04137:Mitophagy - animal	4	3.9603960396039604	0.05314673131146444	TBK1, CALCOCO2, PGAM5, SQSTM1	101	72	8465	4.656215621562157	0.998854348143931	0.183608612555376	0.14066788865129612
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	11	10.891089108910892	0.05390931067798373	MAP2K3, RAB1A, TBK1, VAPB, DDIT3, IL1B, WDR41, RAB39B, ATF6, SQSTM1, C9ORF72	101	476	8465	1.9368291871203926	0.998963275656137	0.183608612555376	0.14066788865129612
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	6	5.9405940594059405	0.054786440843136386	ERO1A, WFS1, DDIT3, ATF6, HSP90B1, NFE2L2	101	174	8465	2.890064868555821	0.9990759128506367	0.183608612555376	0.14066788865129612
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	6	5.9405940594059405	0.09052462344311277	MAP2K3, BCL2L11, TBK1, TRAF3, GADD45A, IKBKE	101	202	8465	2.4894618174688756	0.9999922361484982	0.2953961396564732	0.2263115586077819
