Locus	Chr	Boundaries (bp, b37)	Locus width (bp)	Number of distinct signals
PXK	3	57,838,809-58,838,809	1,000,000	1
PSMD6-ADAMTS9	3	63,384,800-65,203,394	1,818,594	2
ZBTB20	3	114,460,798-115,460,798	1,000,000	1
ADCY5	3	122,565,778-123,565,778	1,000,000	1
SLC12A8	3	124,421,457-125,421,457	1,000,000	1
MBNL1	3	151,932,042-152,932,042	1,000,000	3
SLC2A2	3	170,224,883-171,224,883	1,000,000	1
IGF2BP2	3	185,010,613-186,010,613	1,000,000	1
ST6GAL1	3	186,165,645-187,165,645	1,000,000	2
BCL6-LPP	3	187,240,899-188,240,899	1,000,000	1
TFRC	3	195,325,077-196,325,077	1,000,000	1
CTBP1-PCGF3-MAEA	4	227,695-2,284,605	2,056,910	3
WFS1	4	5,793,237-6,793,237	1,000,000	1
LCORL	4	17,547,401-18,547,401	1,000,000	1
GNPDA2	4	44,675,691-45,675,691	1,000,000	1
MOB1B	4	71,335,822-72,335,822	1,000,000	1
SCD5	4	83,087,562-84,087,562	1,000,000	1
NKX6-1-CDS1	4	84,839,618-85,839,618	1,000,000	1
SMARCAD1	4	94,591,911-95,591,911	1,000,000	1
PPP3CA	4	101,635,363-102,635,363	1,000,000	1
SLC9B1	4	103,225,894-104,225,894	1,000,000	1
TET2	4	105,548,291-106,548,291	1,000,000	1
TMEM154	4	153,020,475-154,020,475	1,000,000	1
PDGFC	4	157,225,916-158,225,916	1,000,000	1
ACSL1	4	185,214,289-186,214,289	1,000,000	1
ANKH	5	14,268,092-15,268,092	1,000,000	2
MRPS30	5	44,182,589-45,182,589	1,000,000	1
ITGA1	5	51,291,225-52,291,225	1,000,000	1
ARL15	5	52,797,591-53,797,591	1,000,000	2
ANKRD55	5	55,308,475-56,308,475	1,000,000	3
PIK3R1	5	67,216,793-68,216,793	1,000,000	1
HMGCR-POC5	5	74,503,678-75,503,678	1,000,000	1
ZBED3	5	75,935,004-76,935,004	1,000,000	1
DMGDH	5	77,972,599-78,972,599	1,000,000	1
SLCO6A1-PAM	5	100,773,694-103,473,337	2,699,643	3
CEP120	5	122,204,342-123,204,342	1,000,000	1
PHFI5	5	133,364,599-134,364,599	1,000,000	1
FGFR4-NSD1	5	176,089,585-177,089,585	1,000,000	1
SSR1-RREB1	6	6,731,843-7,731,843	1,000,000	2
CDKAL1	6	20,180,678-21,180,678	1,000,000	1
MHC region	6	30,639,452-34,709,281	4,069,829	5
ZFAND3-KCNK16-GLP1R	6	38,782,371-39,782,371	1,000,000	3
LRFN2	6	39,909,243-40,909,243	1,000,000	1
VEGFA	6	43,314,190-44,314,190	1,000,000	2
TFAP2B	6	50,288,778-51,288,778	1,000,000	1
BEND3	6	106,933,400-107,933,400	1,000,000	1
NUS1	6	117,511,723-118,511,723	1,000,000	1
CENPW-SOGA3	6	126,292,095-127,914,838	1,622,743	2
MED23-ENPP3	6	131,454,797-132,454,797	1,000,000	1
SLC35D3	6	136,791,281-137,791,281	1,000,000	1
REPS1	6	138,355,975-139,355,975	1,000,000	1
HIVEP2	6	142,558,692-143,558,692	1,000,000	1
RGS17	6	152,938,573-153,938,573	1,000,000	1
SLC22A3	6	160,270,360-161,270,360	1,000,000	1
QKI	6	163,633,001-164,633,001	1,000,000	1
ETV1	7	13,387,008-14,387,008	1,000,000	1
DGKB	7	14,562,983-15,562,983	1,000,000	2
JAZF1	7	27,692,280-28,692,280	1,000,000	3
CRHR2	7	30,228,452-31,228,452	1,000,000	1
GCK 	7	43,755,643-44,755,643	1,000,000	2
GRB10	7	50,309,085-51,309,085	1,000,000	1
AUTS2	7	68,555,951-70,196,905	1,640,954	1
STEAP1	7	89,300,241-90,300,241	1,000,000	1
FBXL13-RELN-RASA4	7	101,981,891-103,920,708	1,938,817	1
GCC1-PAX4-LEP	7	126,026,991-128,403,272	2,376,281	1
KLF14	7	129,957,914-130,957,914	1,000,000	1
BRAF	7	140,131,823-141,131,823	1,000,000	1
AOC1	7	150,037,635-151,037,635	1,000,000	1
MNX1	7	156,493,413-157,493,413	1,000,000	2
MSRA-XKR6	8	8,700,472-11,287,612	2,587,140	1
LONRF1	8	12,118,225-13,118,225	1,000,000	1
LPL	8	19,344,415-20,344,415	1,000,000	1
KCNU1	8	36,354,711-37,897,803	1,543,092	2
ANK1	8	41,022,991-42,022,991	1,000,000	2
GDAP1	8	74,647,209-75,647,209	1,000,000	1
TP53INP1	8	95,465,695-96,465,695	1,000,000	1
TRPS1	8	115,997,173-116,997,173	1,000,000	1
SLC30A8	8	117,684,783-118,684,783	1,000,000	1
PVT1	8	129,069,999-130,069,999	1,000,000	1
BOP1	8	145,044,720-146,044,720	1,000,000	2
GLIS3	9	3,790,085-4,790,085	1,000,000	2
HAUS6	9	18,574,538-19,574,538	1,000,000	1
CDKN2A-CDKN2B	9	21,634,094-22,634,094	1,000,000	4
LINGO2	9	27,910,683-28,910,683	1,000,000	1
UBAP2	9	33,574,476-34,574,476	1,000,000	1
TLE4	9	81,414,978-82,414,978	1,000,000	1
TLE1	9	83,808,948-84,808,948	1,000,000	2
ZNF169	9	96,471,175-97,471,175	1,000,000	1
PTCH1	9	97,778,413-98,778,413	1,000,000	1
STRBP	9	125,515,103-126,515,103	1,000,000	1
ABO	9	135,649,229-136,649,229	1,000,000	1
GPSM1	9	138,743,334-139,743,334	1,000,000	2
CDC123-CAMK1D	10	11,807,894-12,807,894	1,000,000	1
MYO3A	10	25,997,704-26,997,704	1,000,000	1
JMJD1C	10	64,474,380-65,474,380	1,000,000	1
VPS26A-NEUROG3	10	70,821,279-71,821,279	1,000,000	3
ZNF503-LRMDA	10	76,744,336-77,744,336	1,000,000	1
ZMIZ1	10	80,443,841-81,443,841	1,000,000	1
PTEN	10	89,266,368-90,266,368	1,000,000	1
HHEX-IDE	10	93,443,900-95,519,524	2,075,624	3
ARHGAP19-SLIT1	10	98,556,190-99,556,190	1,000,000	1
BBIP1	10	112,121,837-113,121,837	1,000,000	1
TCF7L2	10	114,258,349-115,258,349	1,000,000	16
WDR11	10	122,415,345-123,415,345	1,000,000	3
PLEKHA1	10	123,667,512-124,667,512	1,000,000	1
INS-IGF2-KCNQ1	11	1,697,132-3,358,546	1,661,414	14
TRIM66	11	8,154,528-9,154,528	1,000,000	1
KCNJ11-ABCC8	11	16,908,630-17,908,630	1,000,000	1
BDNF	11	27,183,618-28,183,618	1,000,000	1
QSER1	11	32,427,778-33,427,778	1,000,000	1
HSD17B12	11	43,316,200-44,316,200	1,000,000	1
CRY2	11	45,358,584-46,358,584	1,000,000	1
FOLH1	11	48,977,266-49,977,266	1,000,000	1
MAP3K11	11	64,826,154-65,826,154	1,000,000	1
TPCN2-CCND1	11	68,963,273-69,963,273	1,000,000	1
CENTD2	11	71,960,398-72,960,398	1,000,000	1
C11orf30	11	75,656,973-76,656,973	1,000,000	1
MTNR1B	11	92,208,710-93,208,710	1,000,000	2
ETS1	11	127,889,391-128,889,391	1,000,000	3
CCND2	12	3,884,844-4,884,844	1,000,000	5
CDKN1B	12	12,371,099-13,371,099	1,000,000	1
ITPR2	12	25,974,867-26,974,867	1,000,000	1
KLHDC5	12	27,464,996-28,464,996	1,000,000	1
FAM60A	12	30,917,019-31,917,019	1,000,000	1
PKP2-SYT10	12	32,870,406-33,870,406	1,000,000	1
FAIM2	12	49,763,148-50,763,148	1,000,000	1
HMGA2	12	65,746,181-66,746,181	1,000,000	2
TSPAN8	12	70,949,521-71,949,521	1,000,000	1
RMST	12	97,351,611-98,351,611	1,000,000	1
WSCD2	12	108,129,780-109,129,780	1,000,000	1
SH2B3-ALDH2-BRAP	12	111,109,727-112,610,489	1,500,762	1
PTPN11-HECTD4	12	112,617,897-113,617,897	1,000,000	1
KSR2	12	117,912,373-118,912,373	1,000,000	1
HNF1A	12	120,929,194-121,929,194	1,000,000	2
MPHOSPH9-ZNF664	12	123,118,544-125,045,435	1,926,891	2
FBRSL1	12	132,569,698-133,569,698	1,000,000	1
SGCG	13	22,809,382-23,809,382	1,000,000	1
RNF6	13	26,276,999-27,276,999	1,000,000	1
KL 	13	33,054,587-34,054,587	1,000,000	1
DLEU1	13	50,596,095-51,596,095	1,000,000	1
OLFM4	13	53,607,583-54,607,583	1,000,000	1
SPRY2	13	80,207,429-81,207,429	1,000,000	1
MIR17HG	13	91,442,919-92,442,919	1,000,000	1
AKAP6	14	32,803,540-33,803,540	1,000,000	1
CLEC14A	14	38,303,756-39,303,756	1,000,000	1
NRXN3	14	79,444,099-80,444,099	1,000,000	1
DLK1-MEG3	14	100,755,172-101,755,172	1,000,000	3
TRAF3	14	102,752,270-103,752,270	1,000,000	1
RASGRP1	15	38,352,386-39,352,386	1,000,000	2
INFAM2	15	40,116,742-41,116,742	1,000,000	2
LTK	15	41,318,917-42,318,917	1,000,000	1
MYO5C	15	52,017,714-53,017,714	1,000,000	1
C2CD4A-C2CD4B	15	61,891,608-62,891,608	1,000,000	1
USP3	15	63,371,292-64,371,292	1,000,000	1
MAP2K5	15	67,580,886-68,580,886	1,000,000	1
PTPN9-SIN3A	15	75,315,758-76,315,758	1,000,000	1
HMG20A	15	77,276,562-78,276,562	1,000,000	1
AP3S2	15	89,879,632-90,879,632	1,000,000	1
PRC1	15	91,013,157-92,013,157	1,000,000	1
RGMA	15	93,332,067-94,332,067	1,000,000	1
ITFG3	16	0-795,795	1,000,000	1
CLUAP1-SLX4	16	3,113,126-4,113,126	1,000,000	1
FAM57B	16	29,545,789-30,545,789	1,000,000	1
FTO	16	53,309,123-54,309,123	1,000,000	1
NFAT5	16	69,151,866-70,151,866	1,000,000	1
ZFHX3	16	72,600,308-73,600,308	1,000,000	1
BCAR1	16	74,743,657-75,743,657	1,000,000	1
CMIP	16	81,034,790-82,034,790	1,000,000	1
ZFPM1	16	88,054,480-89,054,480	1,000,000	1
SPG7	16	89,064,055-90,064,055	1,000,000	1
ZZEF1	17	3,488,451-4,488,451	1,000,000	2
SLC16A11-SLC16A13	17	6,453,155-7,453,155	1,000,000	1
RAI1	17	17,251,478-18,251,478	1,000,000	1
NF1	17	29,204,002-30,204,002	1,000,000	1
HNF1B	17	35,599,952-36,599,952	1,000,000	3
MLX	17	40,196,915-41,196,915	1,000,000	1
GIP-TTLL6	17	46,560,322-47,560,322	1,000,000	1
ACE	17	61,703,128-62,703,128	1,000,000	1
BPTF-PITPNC1	17	65,457,568-66,457,568	1,000,000	2
CYTH1	17	76,292,179-77,292,179	1,000,000	1
LAMA1	18	6,576,836-7,576,836	1,000,000	1
TCF4	18	52,550,646-53,550,646	1,000,000	1
GRP-MC4R	18	56,376,430-58,329,135	1,952,705	3
BCL2A	18	60,345,884-61,345,884	1,000,000	1
ZNF236	18	74,055,593-75,055,593	1,000,000	1
UHRF1-PTPRS	19	4,451,064-5,451,064	1,000,000	1
MAP2K7	19	7,468,168-8,468,168	1,000,000	1
FARSA-ZNF799	19	12,009,536-13,538,415	1,528,879	2
CILP2-TM6SF2	19	18,879,549-19,879,549	1,000,000	1
ZNF257	19	21,600,706-22,600,706	1,000,000	1
PEPD	19	33,390,838-34,390,838	1,000,000	1
TOMM40-APOE-GIPR	19	44,911,941-46,657,019	1,745,078	4
ZC3H4	19	47,069,003-48,069,003	1,000,000	1
FOXA2	20	21,927,370-22,927,370	1,000,000	1
RALY	20	32,174,967-33,174,967	1,000,000	1
HNF4A	20	42,494,812-43,494,812	1,000,000	2
EYA2	20	45,096,378-46,096,378	1,000,000	1
CEBPB	20	48,332,020-49,332,020	1,000,000	1
GNAS	20	56,887,352-57,887,352	1,000,000	1
MTMR3-ZNRF3	22	29,705,572-30,705,572	1,000,000	1
YWHAH	22	31,703,334-32,703,334	1,000,000	1
PNPLA3	22	43,824,730-44,824,730	1,000,000	1
PIM3	22	49,856,302-50,856,302	1,000,000	1
