Term,Genes,PValue,FDR
hsa04620:Toll-like receptor signaling pathway,"MAP2K3, TBK1, TRAF3, CCL5, IL1B, SPP1, TICAM1, IKBKE, TLR3",2.8966911181490503e-05,0.00022932138018679984
hsa04625:C-type lectin receptor signaling pathway,"PYCARD, CYLD, PLK3, KSR1, IL1B, CASP1, NLRP3, LSP1, IKBKE",2.8966911181490503e-05,0.00022932138018679984
hsa05418:Fluid shear stress and atherosclerosis,"THBD, IL1R1, IL1B, IL1R2, KEAP1, PLAT, SQSTM1, MAP2K5, HSP90B1, NFE2L2",3.591328168645012e-05,0.00026244321232405857
hsa05134:Legionellosis,"PYCARD, RAB1A, ARF1, IL1B, CASP1, IL18, NLRC4",5.211699592385298e-05,0.0003536510437690024
hsa04144:Endocytosis,"CYTH3, ARF1, PDCD6IP, MVB12B, VPS4A, MVB12A, CHMP4B, CHMP4A, ASAP2, CHMP7, CHMP5, ARF6",0.00017195757247085087,0.0010890646256487
hsa04064:NF-kappa B signaling pathway,"CYLD, IL1R1, TRAF3, GADD45A, IL1B, TNFRSF13C, TICAM1, TNFSF13B",0.00021656166048643845,0.0012858348591382
hsa05130:Pathogenic Escherichia coli infection,"CYTH3, PYCARD, RAB1A, ARF1, IL1R1, IL1B, CASP1, IL18, NLRP3, ARF6",0.0005102363221097237,0.0028513206235543
hsa04060:Cytokine-cytokine receptor interaction,"IL18RAP, TNFRSF13B, IL1R1, CCL5, IL1B, IL1R2, TNFSF13, IL18, TNFRSF13C, IL18R1, TNFSF13B",0.0025784453603305,0.0136084616239668
hsa05161:Hepatitis B,"MAP2K3, DDX3X, MAP3K1, TBK1, TRAF3, TICAM1, IKBKE, TLR3",0.0029795699318039,0.0148978496590195
hsa05171:Coronavirus disease - COVID-19,"TBK1, STING1, TRAF3, IL1B, CASP1, NLRP3, CGAS, IKBKE, TLR3",0.0060196957541602,0.0285935548322611
hsa05321:Inflammatory bowel disease,"IL18RAP, IL1B, IL18, NOD2, IL18R1",0.0071561840794547,0.0323732136927715
hsa04010:MAPK signaling pathway,"MAP2K3, MAP3K2, MAP3K1, IL1R1, GADD45A, DDIT3, IL1B, MAP3K6, MAP2K5, MAP3K4",0.0092045025445614,0.0397467155333336
hsa05014:Amyotrophic lateral sclerosis,"MAP2K3, RAB1A, TBK1, VAPB, DDIT3, CASP1, WDR41, RAB39B, ATF6, SQSTM1, C9ORF72",0.0105764706867862,0.043685422401943
hsa05133:Pertussis,"PYCARD, IL1B, CASP1, NLRP3, TICAM1",0.0122922914666185,0.0468278350403571
hsa03440:Homologous recombination,"BABAM1, BABAM2, UIMC1, BRCC3",0.0123231144843045,0.0468278350403571
hsa04610:Complement and coagulation cascades,"PROCR, THBD, SERPINB2, SERPINE1, PLAT",0.018614452187017,0.0675388402975012
hsa05152:Tuberculosis,"PLK3, KSR1, RIPK2, IL1B, IL18, LSP1, NOD2",0.0195442789055162,0.0675388402975012
hsa04672:Intestinal immune network for IgA production,"TNFRSF13B, TNFSF13, TNFRSF13C, TNFSF13B",0.0199061845087372,0.0675388402975012
hsa05323:Rheumatoid arthritis,"CCL5, IL1B, TNFSF13, IL18, TNFSF13B",0.0240533891365781,0.0753461770408997
hsa04912:GnRH signaling pathway,"MAP2K3, MAP3K2, EGR1, MAP3K1, MAP3K4",0.0240533891365781,0.0753461770408997
hsa04657:IL-17 signaling pathway,"TBK1, TRAF3, IL1B, IKBKE, HSP90B1",0.0249010075209425,0.0753461770408997
hsa04140:Autophagy - animal,"RAB1A, TBK1, WDR41, RAB39B, SQSTM1, C9ORF72",0.0254827756308064,0.0753461770408997
hsa04936:Alcoholic liver disease,"MAP2K3, TBK1, TRAF3, IL1B, TICAM1, IKBKE",0.0261728825510493,0.0753461770408997
